Day,Month,Year,Time,Station,Particle,Reading
26,5,2013,10,Skopje_Rektorat,PM10,0.16
7,6,2013,24,Skopje_Centar,PM10,
27,5,2013,20,Skopje_Rektorat,PM10,40.73
23,5,2013,15,Skopje_Miladinovci,PM10,37.1
31,5,2013,17,Skopje_Rektorat,PM10,4.81
25,5,2013,12,Skopje_Mrsevci,PM10,
9,6,2013,23,Skopje_Mrsevci,PM10,
23,5,2013,21,Skopje_Rektorat,PM10,42
29,5,2013,17,Skopje_Centar,PM10,
12,6,2013,9,Skopje_GaziBaba,PM10,37.55
11,6,2013,19,Skopje_GaziBaba,PM10,1.19
29,5,2013,23,Skopje_Miladinovci,PM10,33.1
8,6,2013,21,Skopje_Rektorat,PM10,32.9
9,6,2013,22,Skopje_Lisice,PM10,71.86
2,6,2013,2,Skopje_Mrsevci,PM10,
28,5,2013,1,Skopje_Mrsevci,PM10,
20,5,2013,21,Skopje_Lisice,PM10,103.8
5,6,2013,10,Skopje_Lisice,PM10,10.25
13,6,2013,9,Skopje_Karpos,PM10,12.73
27,5,2013,15,Skopje_Lisice,PM10,17.02
5,6,2013,24,Skopje_GaziBaba,PM10,34.88
22,5,2013,12,Skopje_GaziBaba,PM10,61.5
28,5,2013,14,Skopje_Centar,PM10,
28,5,2013,5,Skopje_Miladinovci,PM10,20.84
12,6,2013,24,Skopje_Miladinovci,PM10,39.36
27,5,2013,9,Skopje_Mrsevci,PM10,
31,5,2013,3,Skopje_GaziBaba,PM10,67.04
27,5,2013,8,Skopje_Centar,PM10,
20,5,2013,24,Skopje_Mrsevci,PM10,
8,6,2013,8,Skopje_Mrsevci,PM10,
9,6,2013,17,Skopje_GaziBaba,PM10,9.02
31,5,2013,2,Skopje_Mrsevci,PM10,
6,6,2013,8,Skopje_GaziBaba,PM10,4.51
3,6,2013,18,Skopje_Lisice,PM10,31.58
19,5,2013,9,Skopje_Karpos,PM10,55.99
9,6,2013,22,Skopje_Miladinovci,PM10,69.85
19,5,2013,3,Skopje_GaziBaba,PM10,116.37
9,6,2013,11,Skopje_Miladinovci,PM10,11.32
12,6,2013,21,Skopje_GaziBaba,PM10,33.87
31,5,2013,5,Skopje_Lisice,PM10,64.54
10,6,2013,4,Skopje_Lisice,PM10,42.86
22,5,2013,6,Skopje_Centar,PM10,
3,6,2013,20,Skopje_GaziBaba,PM10,70.07
11,6,2013,23,Skopje_Miladinovci,PM10,
18,5,2013,17,Skopje_Rektorat,PM10,24.54
4,6,2013,3,Skopje_GaziBaba,PM10,26.86
30,5,2013,14,Skopje_Miladinovci,PM10,65.77
5,6,2013,10,Skopje_Rektorat,PM10,0.15
29,5,2013,15,Skopje_Karpos,PM10,27.89
10,6,2013,13,Skopje_GaziBaba,PM10,2.99
1,6,2013,17,Skopje_GaziBaba,PM10,57.47
7,6,2013,22,Skopje_Karpos,PM10,33.98
30,5,2013,9,Skopje_Rektorat,PM10,4.67
4,6,2013,16,Skopje_Rektorat,PM10,0.16
31,5,2013,3,Skopje_Lisice,PM10,33.01
